District,Year,Season,Crop,Area,Production,Weather
THANE,1997,Kharif,Urad,96,632,Sunny
THANE,2000,Kharif,Urad,369,893,Overcast 
SATARA,2005,Kharif,Moong(Green Gram),280,987,Rainy
AHMEDNAGAR,2005,Rabi,Groundnut,230,613,Sunny
DHULE,2009,Rabi,Rice,14,775,Rainy
AURANGABAD,1998,Zaid,Linseed,427,189,Overcast 
NANDURBAR,2014,Kharif,Moong(Green Gram),186,285,Rainy
THANE,1998,Zaid,Other  Rabi pulses,446,849,Sunny
AKOLA,2000,Kharif,Safflower,220,487,Rainy
RATNAGIRI,2002,Zaid,Other  Rabi pulses,362,324,Rainy
AMRAVATI,2006,Zaid,Urad,213,422,Rainy
DHULE,2000,Rabi,Rice,453,536,Overcast 
THANE,2000,Kharif,Other  Rabi pulses,272,743,Rainy
KOLHAPUR,1999,Kharif,Other Kharif pulses,123,305,Sunny
SATARA,2006,Kharif,Urad,122,865,Overcast 
OSMANABAD,2005,Rabi,Linseed,487,346,Sunny
DHULE,2002,Zaid,Other Kharif pulses,210,495,Overcast 
AKOLA,2000,Kharif,Sesamum,445,321,Sunny
OSMANABAD,2014,Zaid,Linseed,234,746,Rainy
PARBHANI,2004,Zaid,Sesamum,353,900,Overcast 
OSMANABAD,2012,Rabi,Sesamum,111,800,Rainy
AKOLA,1997,Kharif,Total foodgrain,435,820,Overcast 
PARBHANI,2003,Kharif,Mango,205,414,Sunny
SATARA,2001,Zaid,Maize,8,500,Sunny
GADCHIROLI,1998,Rabi,Rice,34,201,Rainy
YAVATMAL,2001,Kharif,Rice,244,347,Sunny
BEED,2000,Rabi,Maize,103,803,Sunny
LATUR,2000,Rabi,Maize,139,621,Sunny
AHMEDNAGAR,2000,Rabi,Ragi,133,958,Rainy
LATUR,2008,Zaid,Maize,93,882,Overcast 
SATARA,1999,Rabi,Urad,4,698,Overcast 
SATARA,2001,Rabi,Urad,104,129,Overcast 
PARBHANI,2002,Kharif,Sunflower,423,602,Rainy
JALNA,2002,Kharif,Sunflower,492,472,Overcast 
NAGPUR,2004,Kharif,Jowar,246,207,Rainy
SINDHUDURG,1999,Zaid,Other  Rabi pulses,94,872,Rainy
THANE,2013,Kharif,Other  Rabi pulses,209,892,Overcast 
AMRAVATI,2013,Rabi,Urad,392,700,Overcast 
BHANDARA,2013,Rabi,Linseed,431,344,Overcast 
BHANDARA,2000,Rabi,Linseed,205,914,Sunny
PARBHANI,2000,Kharif,Sesamum,141,900,Sunny
BEED,2003,Rabi,Linseed,260,800,Sunny
LATUR,2008,Rabi,Niger seed,415,800,Rainy
LATUR,2001,Zaid,Maize,284,860,Overcast 
SATARA,1998,Zaid,Cotton(lint),156,483,Overcast 
SATARA,2003,Rabi,Maize,346,476,Sunny
AMRAVATI,2014,Zaid,Groundnut,426,502,Rainy
SATARA,1999,Zaid,Maize,375,928,Rainy
OSMANABAD,2002,Rabi,Soyabean,183,277,Rainy
JALNA,2009,Zaid,Jowar,102,590,Sunny
THANE,2004,Zaid,Urad,383,510,Overcast 
SATARA,2005,Rabi,Cotton(lint),107,417,Overcast 
AHMEDNAGAR,2013,Kharif,Groundnut,327,406,Sunny
SATARA,2009,Zaid,Urad,102,683,Rainy
THANE,2002,Zaid,Urad,226,462,Rainy
THANE,2003,Zaid,Urad,202,439,Sunny
RAIGAD,1998,Rabi,Other Cereals & Millets,49,107,Overcast 
SANGLI,2009,Kharif,Moong(Green Gram),388,767,Overcast 
SATARA,1997,Kharif,Moong(Green Gram),205,780,Rainy
SINDHUDURG,2011,Rabi,Other  Rabi pulses,102,376,Rainy
JALGAON,2000,Rabi,Small millets,246,814,Overcast 
PARBHANI,2008,Kharif,Sunflower,351,810,Overcast 
GONDIA,2011,Zaid,Gram,318,343,Overcast 
NANDED,2002,Rabi,Sunflower,454,266,Rainy
JALNA,2000,Rabi,Soyabean,243,619,Rainy
AHMEDNAGAR,2002,Kharif,Urad,381,462,Overcast 
AURANGABAD,2006,Zaid,Sunflower,457,838,Overcast 
NAGPUR,2013,Zaid,Jowar,160,293,Sunny
PARBHANI,2004,Rabi,Sunflower,447,495,Overcast 
BULDHANA,1998,Rabi,Other Kharif pulses,463,606,Rainy
AURANGABAD,2003,Zaid,Sunflower,95,881,Sunny
AURANGABAD,2006,Zaid,Sesamum,150,1000,Sunny
AMRAVATI,2013,Kharif,Rice,478,800,Rainy
SATARA,2011,Kharif,Groundnut,349,350,Rainy
BHANDARA,2006,Rabi,Rice,271,107,Rainy
SATARA,1999,Kharif,Groundnut,75,539,Rainy
AHMEDNAGAR,2001,Kharif,Ragi,1,982,Sunny
BHANDARA,2005,Zaid,Rice,200,116,Rainy
AURANGABAD,2003,Rabi,Soyabean,449,784,Overcast 
BEED,2011,Kharif,Maize,59,273,Rainy
SOLAPUR,2004,Kharif,Groundnut,211,188,Sunny
AHMEDNAGAR,1998,Rabi,Soyabean,44,701,Rainy
AHMEDNAGAR,2002,Rabi,Ragi,430,669,Rainy
SATARA,2000,Zaid,Urad,482,521,Rainy
AHMEDNAGAR,2003,Zaid,Ragi,448,761,Sunny
BEED,2012,Zaid,Maize,175,721,Sunny
KOLHAPUR,2004,Zaid,Other Cereals & Millets,147,162,Overcast 
PUNE,2013,Rabi,Moong(Green Gram),432,362,Overcast 
PARBHANI,2001,Zaid,Sunflower,8,738,Rainy
DHULE,2005,Zaid,Ragi,316,762,Sunny
RATNAGIRI,1999,Rabi,Small millets,152,848,Sunny
GONDIA,2010,Kharif,Gram,131,855,Overcast 
GONDIA,2012,Kharif,Gram,286,128,Sunny
CHANDRAPUR,2012,Zaid,Jowar,184,702,Sunny
SANGLI,1999,Kharif,Sunflower,47,855,Overcast 
SANGLI,2000,Rabi,Sunflower,77,150,Sunny
SANGLI,2000,Rabi,Sunflower,49,508,Sunny
SOLAPUR,2000,Kharif,Urad,359,695,Overcast 
AURANGABAD,2005,Zaid,Sunflower,454,276,Sunny
SINDHUDURG,2003,Zaid,Other  Rabi pulses,32,191,Rainy
SOLAPUR,2011,Rabi,Sunflower,498,649,Sunny
SINDHUDURG,2000,Zaid,Other  Rabi pulses,24,900,Sunny
BULDHANA,2000,Kharif,Groundnut,282,957,Overcast 
GADCHIROLI,2014,Zaid,Arhar/Tur,334,594,Sunny
SATARA,2005,Zaid,Arhar/Tur,428,725,Rainy
NASHIK,2014,Rabi,Other Kharif pulses,428,564,Overcast 
PUNE,2012,Kharif,Moong(Green Gram),46,207,Overcast 
AURANGABAD,2000,Rabi,Linseed,83,733,Overcast 
BEED,2002,Zaid,Linseed,285,642,Overcast 
OSMANABAD,2010,Kharif,Niger seed,358,881,Overcast 
OSMANABAD,2011,Zaid,Linseed,380,892,Overcast 
AURANGABAD,2001,Rabi,Linseed,97,900,Overcast 
PUNE,2003,Kharif,Safflower,15,200,Overcast 
SATARA,2012,Zaid,Groundnut,222,107,Overcast 
SINDHUDURG,1999,Rabi,Rice,146,541,Sunny
JALNA,1998,Zaid,Soyabean,163,338,Rainy
OSMANABAD,2005,Kharif,Cotton(lint),157,795,Sunny
NANDED,2004,Kharif,Groundnut,196,993,Rainy
NANDURBAR,2013,Kharif,Bajra,62,978,Rainy
AURANGABAD,2013,Zaid,Groundnut,105,943,Sunny
KOLHAPUR,2002,Kharif,Small millets,211,366,Rainy
LATUR,2010,Rabi,Maize,325,809,Rainy
AHMEDNAGAR,2011,Zaid,Groundnut,91,991,Rainy
GONDIA,2004,Rabi,Arhar/Tur,113,282,Overcast 
SOLAPUR,2014,Zaid,Sunflower,179,817,Rainy
KOLHAPUR,1998,Rabi,Other  Rabi pulses,414,482,Sunny
PARBHANI,2000,Zaid,Sunflower,82,219,Rainy
AMRAVATI,2008,Zaid,Rice,461,267,Overcast 
HINGOLI,2005,Kharif,Rice,441,713,Rainy
LATUR,2000,Kharif,Other Kharif pulses,468,570,Sunny
JALGAON,2003,Kharif,Other Kharif pulses,415,950,Rainy
OSMANABAD,2011,Rabi,Sesamum,227,850,Overcast 
AHMEDNAGAR,2001,Rabi,Urad,475,900,Overcast 
GADCHIROLI,1999,Zaid,Linseed,194,900,Sunny
OSMANABAD,2001,Rabi,Niger seed,407,900,Overcast 
BEED,2004,Zaid,Linseed,224,700,Sunny
PARBHANI,2006,Zaid,Sesamum,245,700,Rainy
SINDHUDURG,2002,Zaid,Rice,132,808,Overcast 
JALGAON,2006,Rabi,Maize,250,220,Sunny
SOLAPUR,2002,Rabi,Cotton(lint),100,553,Rainy
JALNA,1999,Rabi,Soyabean,370,396,Rainy
AHMEDNAGAR,1997,Kharif,Maize,321,760,Sunny
PUNE,1997,Rabi,Maize,424,737,Rainy
GONDIA,2003,Rabi,Arhar/Tur,467,318,Overcast 
HINGOLI,2014,Kharif,Groundnut,132,807,Sunny
AURANGABAD,2009,Kharif,Groundnut,222,442,Overcast 
JALGAON,2000,Kharif,Groundnut,407,330,Sunny
SATARA,1997,Rabi,Urad,98,822,Sunny
GONDIA,2001,Rabi,Wheat,376,607,Rainy
RAIGAD,2000,Zaid,Small millets,183,315,Sunny
GADCHIROLI,2014,Zaid,Soyabean,133,590,Rainy
NANDED,2010,Rabi,Sunflower,153,978,Rainy
SATARA,2011,Rabi,Urad,42,795,Rainy
PARBHANI,2003,Zaid,Sunflower,200,134,Sunny
SATARA,2011,Kharif,Moong(Green Gram),126,778,Overcast 
THANE,2009,Rabi,Gram,254,827,Overcast 
AMRAVATI,2000,Kharif,Small millets,395,383,Rainy
KOLHAPUR,2000,Zaid,Small millets,288,197,Sunny
SATARA,2003,Kharif,Urad,174,986,Rainy
NAGPUR,2006,Zaid,Sunflower,366,652,Sunny
NAGPUR,2011,Zaid,Other  Rabi pulses,362,650,Sunny
KOLHAPUR,2004,Kharif,Other Kharif pulses,310,213,Sunny
PARBHANI,1999,Kharif,Sunflower,329,951,Overcast 
JALNA,2004,Rabi,Sunflower,114,254,Rainy
SATARA,1998,Zaid,Urad,147,414,Overcast 
AURANGABAD,2000,Rabi,Sunflower,313,477,Rainy
NASHIK,2011,Zaid,Castor seed,341,895,Rainy
KOLHAPUR,2001,Kharif,Other  Rabi pulses,488,536,Rainy
SINDHUDURG,2004,Zaid,Other  Rabi pulses,81,475,Rainy
NANDED,2003,Rabi,Sunflower,62,704,Sunny
BEED,2008,Kharif,Moong(Green Gram),29,714,Rainy
PUNE,2003,Rabi,Other  Rabi pulses,318,900,Sunny
SATARA,2002,Zaid,Safflower,478,900,Overcast 
YAVATMAL,2005,Rabi,Sesamum,465,900,Sunny
GADCHIROLI,1998,Kharif,Linseed,159,800,Overcast 
DHULE,1997,Kharif,Total foodgrain,137,215,Rainy
SINDHUDURG,2003,Kharif,Rice,57,910,Overcast 
SINDHUDURG,2004,Rabi,Rice,57,192,Overcast 
LATUR,2003,Rabi,Mango,19,902,Overcast 
SINDHUDURG,2001,Kharif,Rice,133,700,Rainy
SOLAPUR,2001,Zaid,Groundnut,341,872,Rainy
AMRAVATI,2009,Zaid,Rice,105,201,Sunny
SOLAPUR,2010,Rabi,Soyabean,49,568,Sunny
BEED,2009,Zaid,Maize,138,967,Rainy
PARBHANI,2001,Zaid,Groundnut,397,629,Rainy
PARBHANI,2000,Kharif,Groundnut,431,135,Rainy
THANE,2010,Kharif,Gram,229,622,Sunny
AURANGABAD,2000,Zaid,Soyabean,259,736,Overcast 
AURANGABAD,2006,Zaid,Urad,256,269,Overcast 
THANE,2008,Rabi,Gram,185,438,Sunny
AHMEDNAGAR,2014,Zaid,Groundnut,364,486,Rainy
WASHIM,2006,Kharif,Safflower,44,136,Rainy
NANDURBAR,1999,Rabi,Wheat,450,888,Overcast 
PARBHANI,2006,Zaid,Sunflower,30,709,Sunny
LATUR,2010,Kharif,Bajra,438,124,Sunny
HINGOLI,2006,Zaid,Rice,426,227,Sunny
SINDHUDURG,2002,Kharif,Other  Rabi pulses,369,760,Sunny
THANE,2002,Zaid,Other  Rabi pulses,341,557,Rainy
DHULE,2000,Rabi,Jowar,242,885,Rainy
RATNAGIRI,1998,Rabi,Other  Rabi pulses,11,762,Rainy
CHANDRAPUR,2008,Zaid,Jowar,155,202,Sunny
SANGLI,2012,Zaid,Other Kharif pulses,509,530,Rainy
WARDHA,2008,Zaid,Jowar,305,872,Rainy
BEED,2005,Zaid,Linseed,419,355,Rainy
BEED,2006,Rabi,Linseed,177,632,Rainy
DHULE,2009,Rabi,Sesamum,453,506,Rainy
OSMANABAD,2010,Kharif,Sesamum,59,900,Rainy
YAVATMAL,2004,Kharif,Sesamum,68,700,Overcast 
GONDIA,2002,Kharif,Rice,245,738,Sunny
SINDHUDURG,2005,Rabi,Rice,256,573,Rainy
PUNE,2012,Rabi,Soyabean,237,539,Sunny
GADCHIROLI,2014,Kharif,Cotton(lint),319,639,Sunny
GADCHIROLI,2011,Rabi,Cotton(lint),463,197,Overcast 
HINGOLI,2001,Zaid,Groundnut,443,454,Overcast 
OSMANABAD,2009,Rabi,Cotton(lint),491,180,Rainy
JALNA,2010,Rabi,Jowar,280,745,Sunny
PUNE,1997,Zaid,Jowar,326,954,Sunny
BEED,2011,Kharif,Groundnut,60,614,Sunny
SOLAPUR,2011,Rabi,Groundnut,382,810,Overcast 
NASHIK,1998,Zaid,Cotton(lint),345,206,Sunny
SATARA,2009,Zaid,Arhar/Tur,483,961,Overcast 
NANDURBAR,2012,Kharif,Groundnut,279,834,Sunny
THANE,2011,Rabi,Gram,206,878,Sunny
AHMEDNAGAR,2010,Zaid,Groundnut,29,296,Rainy
KOLHAPUR,1999,Kharif,Urad,481,271,Sunny
LATUR,2013,Rabi,Sunflower,85,804,Rainy
AHMEDNAGAR,2003,Rabi,Groundnut,146,338,Sunny
AHMEDNAGAR,2012,Zaid,Groundnut,311,314,Rainy
NANDED,2011,Kharif,Safflower,108,844,Overcast 
PUNE,2013,Kharif,Arhar/Tur,271,995,Rainy
AMRAVATI,2004,Rabi,Other Kharif pulses,4,554,Overcast 
BULDHANA,2005,Zaid,Bajra,147,520,Sunny
GONDIA,2006,Zaid,Gram,214,359,Overcast 
PUNE,2000,Kharif,Arhar/Tur,133,220,Overcast 
BULDHANA,2003,Rabi,Bajra,172,755,Sunny
BULDHANA,2004,Zaid,Bajra,248,698,Sunny
AHMEDNAGAR,2002,Rabi,Sunflower,385,245,Overcast 
JALNA,2003,Rabi,Sunflower,431,989,Sunny
SANGLI,1999,Rabi,Sunflower,414,311,Overcast 
JALNA,2002,Zaid,Sesamum,358,740,Sunny
SOLAPUR,2013,Rabi,Other Kharif pulses,385,743,Rainy
OSMANABAD,2011,Rabi,Niger seed,282,614,Sunny
OSMANABAD,2013,Kharif,Linseed,42,1000,Rainy
PARBHANI,2013,Kharif,Sesamum,406,1000,Sunny
OSMANABAD,2008,Kharif,Sesamum,53,900,Overcast 
PARBHANI,2014,Rabi,Bajra,444,400,Overcast 
JALGAON,2007,Rabi,Cotton(lint),65,393,Sunny
SINDHUDURG,2006,Rabi,Rice,399,744,Overcast 
SATARA,1998,Zaid,Groundnut,485,875,Rainy
LATUR,1999,Kharif,Maize,314,225,Rainy
GONDIA,2002,Zaid,Arhar/Tur,268,604,Sunny
AMRAVATI,2011,Rabi,Rice,508,663,Sunny
SOLAPUR,2011,Kharif,Urad,294,639,Rainy
THANE,2006,Rabi,Gram,229,389,Overcast 
LATUR,2002,Zaid,Maize,446,983,Sunny
AMRAVATI,1998,Zaid,Sunflower,147,767,Sunny
SOLAPUR,2005,Zaid,Urad,286,836,Sunny
THANE,2005,Kharif,Gram,293,917,Overcast 
DHULE,2006,Zaid,Ragi,459,222,Rainy
GADCHIROLI,2013,Kharif,Arhar/Tur,65,195,Overcast 
AHMEDNAGAR,1998,Kharif,Other Cereals & Millets,113,744,Sunny
THANE,2010,Zaid,Urad,171,971,Overcast 
RAIGAD,2004,Kharif,Other Cereals & Millets,84,621,Overcast 
NAGPUR,2006,Kharif,Jowar,249,340,Overcast 
SANGLI,2013,Kharif,Safflower,96,256,Rainy
PUNE,2001,Kharif,Arhar/Tur,353,789,Overcast 
SOLAPUR,1999,Kharif,Moong(Green Gram),383,713,Sunny
BEED,2001,Kharif,Sunflower,415,442,Sunny
NANDED,2000,Kharif,Other Kharif pulses,1,284,Rainy
JALNA,2003,Kharif,Sunflower,177,555,Sunny
JALNA,2000,Zaid,Sesamum,126,1000,Overcast 
AMRAVATI,2000,Zaid,Sesamum,290,900,Rainy
AURANGABAD,2014,Rabi,Groundnut,474,900,Sunny
PARBHANI,1999,Zaid,Sesamum,473,900,Rainy
PARBHANI,2010,Zaid,Sesamum,97,900,Overcast 
CHANDRAPUR,2003,Rabi,Mango,240,489,Rainy
PARBHANI,1997,Zaid,Total foodgrain,120,701,Sunny
PUNE,2007,Zaid,Jowar,376,329,Overcast 
SATARA,2004,Zaid,Groundnut,187,205,Rainy
SATARA,2005,Zaid,Groundnut,317,542,Rainy
BHANDARA,2001,Zaid,Rice,301,565,Sunny
SATARA,2000,Zaid,Groundnut,286,809,Overcast 
AURANGABAD,2008,Zaid,Jowar,228,175,Sunny
CHANDRAPUR,2014,Rabi,Rice,265,170,Overcast 
BEED,2006,Kharif,Maize,322,982,Rainy
SOLAPUR,2014,Kharif,Groundnut,123,974,Sunny
DHULE,1998,Zaid,Soyabean,2,265,Rainy
PUNE,1998,Rabi,Jowar,33,586,Rainy
SATARA,1998,Rabi,Maize,379,485,Rainy
NANDURBAR,2004,Kharif,Soyabean,473,171,Rainy
OSMANABAD,2000,Rabi,Groundnut,398,186,Overcast 
SATARA,2006,Kharif,Cotton(lint),61,876,Overcast 
GONDIA,2001,Zaid,Arhar/Tur,103,474,Overcast 
OSMANABAD,1999,Zaid,Groundnut,299,225,Overcast 
GONDIA,1999,Zaid,Arhar/Tur,323,159,Overcast 
LATUR,2004,Rabi,Maize,213,805,Sunny
NAGPUR,2010,Kharif,Groundnut,202,585,Sunny
SOLAPUR,2001,Zaid,Cotton(lint),239,151,Rainy
WARDHA,2012,Kharif,Jowar,364,102,Sunny
PUNE,2012,Kharif,Jowar,71,237,Rainy
YAVATMAL,2014,Zaid,Jowar,89,887,Rainy
KOLHAPUR,1997,Rabi,Maize,424,225,Overcast 
OSMANABAD,1998,Zaid,Cotton(lint),430,295,Overcast 
AURANGABAD,2005,Kharif,Urad,20,757,Sunny
HINGOLI,2008,Rabi,Sunflower,134,769,Rainy
OSMANABAD,2000,Rabi,Small millets,273,627,Overcast 
PARBHANI,2012,Zaid,Groundnut,147,637,Sunny
GADCHIROLI,2008,Rabi,Arhar/Tur,308,282,Sunny
BHANDARA,2003,Zaid,Gram,19,580,Rainy
SANGLI,1998,Rabi,Sunflower,57,570,Sunny
NANDED,2012,Zaid,Rice,32,972,Overcast 
CHANDRAPUR,1997,Zaid,Moong(Green Gram),367,617,Rainy
PARBHANI,2010,Rabi,Rice,55,191,Rainy
SOLAPUR,2006,Kharif,Moong(Green Gram),319,571,Overcast 
AURANGABAD,2001,Kharif,Sunflower,31,203,Rainy
WARDHA,2014,Kharif,Jowar,289,791,Rainy
BHANDARA,2012,Rabi,Linseed,207,151,Sunny
LATUR,2009,Rabi,Bajra,151,753,Rainy
NANDED,2011,Kharif,Rice,441,150,Overcast 
BHANDARA,2010,Kharif,Linseed,36,1000,Rainy
JALNA,1999,Rabi,Sesamum,341,221,Rainy
LATUR,2014,Kharif,Sunflower,274,173,Sunny
PARBHANI,2005,Rabi,Sesamum,436,1000,Sunny
AMRAVATI,1999,Kharif,Sesamum,356,400,Overcast 
BHANDARA,1997,Zaid,Other  Rabi pulses,376,123,Sunny
GADCHIROLI,2003,Zaid,Mango,12,193,Rainy
SATARA,2006,Rabi,Groundnut,84,894,Overcast 
PUNE,2011,Kharif,Soyabean,469,638,Rainy
BULDHANA,2003,Rabi,Mango,135,225,Overcast 
LATUR,1998,Rabi,Maize,275,298,Sunny
HINGOLI,2013,Rabi,Groundnut,220,549,Rainy
HINGOLI,2000,Rabi,Groundnut,377,485,Rainy
GONDIA,2000,Rabi,Arhar/Tur,45,840,Overcast 
PUNE,1997,Zaid,Arhar/Tur,354,805,Sunny
PUNE,1999,Zaid,Small millets,20,761,Sunny
WARDHA,2000,Rabi,Groundnut,355,685,Overcast 
PUNE,1999,Kharif,Arhar/Tur,308,241,Sunny
KOLHAPUR,1998,Rabi,Urad,11,548,Rainy
NAGPUR,2014,Kharif,Jowar,192,156,Rainy
SANGLI,2005,Kharif,Sunflower,345,389,Sunny
AHMEDNAGAR,2008,Rabi,Sunflower,433,726,Overcast 
SOLAPUR,1998,Zaid,Other Cereals & Millets,177,129,Rainy
SANGLI,2006,Rabi,Sunflower,140,259,Rainy
PUNE,2006,Kharif,Arhar/Tur,369,795,Overcast 
PUNE,2008,Kharif,Moong(Green Gram),246,461,Sunny
SANGLI,2008,Zaid,Arhar/Tur,206,950,Sunny
SOLAPUR,1998,Zaid,Moong(Green Gram),188,883,Overcast 
AURANGABAD,2002,Zaid,Sunflower,43,584,Overcast 
LATUR,1998,Rabi,Other Kharif pulses,250,739,Overcast 
SATARA,2014,Rabi,Moong(Green Gram),110,467,Overcast 
LATUR,2003,Kharif,Maize,500,881,Sunny
NASHIK,1998,Zaid,Other  Rabi pulses,70,933,Overcast 
LATUR,2008,Kharif,Rice,489,169,Overcast 
KOLHAPUR,2002,Zaid,Other Kharif pulses,48,671,Rainy
PUNE,1998,Kharif,Arhar/Tur,485,549,Rainy
JALNA,2001,Rabi,Sesamum,270,900,Sunny
BHANDARA,1997,Rabi,Jowar,105,800,Rainy
OSMANABAD,2012,Zaid,Linseed,30,700,Sunny
BEED,2008,Rabi,Sesamum,254,600,Sunny
SOLAPUR,2003,Rabi,Mango,199,200,Sunny
BULDHANA,1997,Zaid,Total foodgrain,433,236,Overcast 
SINDHUDURG,2011,Kharif,Rice,231,797,Rainy
KOLHAPUR,2012,Zaid,Maize,214,214,Overcast 
LATUR,2009,Zaid,Maize,500,629,Sunny
PARBHANI,2003,Rabi,Groundnut,82,999,Overcast 
PUNE,2004,Zaid,Arhar/Tur,355,442,Overcast 
LATUR,2006,Rabi,Maize,235,718,Rainy
JALGAON,2005,Zaid,Groundnut,186,857,Overcast 
SOLAPUR,2013,Kharif,Urad,409,487,Sunny
AMRAVATI,2010,Rabi,Rice,180,591,Rainy
LATUR,2012,Zaid,Bajra,341,419,Overcast 
LATUR,2014,Rabi,Cotton(lint),22,938,Overcast 
AURANGABAD,2010,Zaid,Urad,308,589,Overcast 
THANE,1999,Kharif,Gram,395,394,Overcast 
THANE,2004,Zaid,Gram,135,283,Sunny
GONDIA,2002,Kharif,Wheat,437,548,Overcast 
GADCHIROLI,2014,Zaid,Gram,120,226,Overcast 
THANE,1998,Kharif,Gram,123,243,Overcast 
SOLAPUR,2012,Rabi,Urad,495,816,Rainy
BHANDARA,2001,Rabi,Gram,211,833,Overcast 
LATUR,2011,Rabi,Bajra,117,563,Overcast 
THANE,2000,Rabi,Gram,331,390,Overcast 
GADCHIROLI,2008,Rabi,Jowar,217,535,Rainy
NASHIK,2001,Kharif,Small millets,221,799,Rainy
THANE,2001,Kharif,Gram,40,647,Rainy
DHULE,2010,Rabi,Sesamum,67,747,Sunny
PUNE,2002,Rabi,Arhar/Tur,151,997,Sunny
BEED,1999,Rabi,Rice,251,742,Sunny
NAGPUR,1999,Kharif,Other  Rabi pulses,227,767,Rainy
BHANDARA,2002,Kharif,Gram,199,187,Overcast 
AMRAVATI,2012,Kharif,Rice,354,145,Sunny
AMRAVATI,2000,Rabi,Safflower,315,776,Overcast 
BEED,2011,Kharif,Safflower,496,880,Rainy
AMRAVATI,1998,Rabi,Sesamum,382,416,Rainy
SATARA,2003,Rabi,Arhar/Tur,100,574,Rainy
BHANDARA,2006,Rabi,Linseed,58,1000,Overcast 
JALNA,1998,Zaid,Sesamum,409,1000,Overcast 
JALNA,2003,Zaid,Sesamum,313,1000,Rainy
OSMANABAD,2009,Rabi,Sesamum,214,1000,Sunny
NAGPUR,2002,Kharif,Other Kharif pulses,401,900,Rainy
AHMEDNAGAR,2012,Kharif,Other Kharif pulses,333,600,Sunny
GONDIA,2004,Kharif,Linseed,408,300,Sunny
LATUR,1997,Kharif,Total foodgrain,297,140,Overcast 
KOLHAPUR,2000,Zaid,Maize,410,413,Sunny
SATARA,2011,Kharif,Maize,408,439,Sunny
JALNA,1999,Rabi,Maize,30,775,Sunny
JALNA,2000,Zaid,Maize,278,833,Rainy
NANDURBAR,2001,Rabi,Groundnut,373,439,Rainy
BEED,2005,Kharif,Groundnut,250,505,Overcast 
GONDIA,2003,Rabi,Wheat,2,539,Rainy
SOLAPUR,2004,Zaid,Moong(Green Gram),202,137,Rainy
BEED,2011,Kharif,Groundnut,461,419,Rainy
THANE,2003,Zaid,Gram,392,218,Overcast 
GONDIA,2000,Rabi,Wheat,471,995,Rainy
YAVATMAL,2002,Rabi,Rice,444,530,Rainy
BEED,2010,Kharif,Sunflower,199,223,Overcast 
THANE,1997,Zaid,Gram,275,154,Sunny
AKOLA,2010,Zaid,Sunflower,228,306,Sunny
AURANGABAD,2008,Rabi,Urad,95,431,Sunny
BULDHANA,2008,Zaid,Bajra,294,575,Rainy
HINGOLI,2010,Rabi,Sunflower,178,926,Rainy
PUNE,2005,Rabi,Arhar/Tur,91,489,Sunny
WASHIM,2001,Zaid,Sunflower,7,204,Overcast 
AURANGABAD,2009,Rabi,Urad,454,419,Sunny
